City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Itatiaia,BR,2022-02-12 15:55:45,-22.4961,-44.5633,77.47,85,59,3.6
226,Carlagan,PH,2022-02-12 15:55:46,14.975,122.0456,75.83,88,100,8.14
227,Aleksandrovsk,RU,2022-02-12 15:55:47,59.158,57.5624,16.81,79,100,3.42
228,Boyolangu,ID,2022-02-12 15:55:48,-8.1181,111.8935,74.88,92,100,8.25
229,Aklavik,CA,2022-02-12 15:55:50,68.2191,-135.0107,-34.6,74,0,2.3
230,Mahebourg,MU,2022-02-12 15:53:50,-20.4081,57.7,80.89,74,20,3.44
231,Bouca,CF,2022-02-12 15:56:52,6.5105,18.2733,97.23,10,3,5.35
232,Leningradskiy,RU,2022-02-12 15:56:52,69.3833,178.4167,-21.87,98,98,4.29
233,Helong,CN,2022-02-12 15:56:53,42.5397,128.9972,15.39,69,99,2.75
234,Mazyr,BY,2022-02-12 15:56:55,52.0495,29.2456,27.0,85,9,7.16
235,Pangody,RU,2022-02-12 15:56:56,65.85,74.4859,-7.06,92,6,15.52
236,Lulea,SE,2022-02-12 15:56:57,65.5842,22.1547,8.67,85,37,1.14
237,Ancud,CL,2022-02-12 15:56:58,-41.8697,-73.8203,76.23,61,71,6.2
238,Vila Velha,BR,2022-02-12 15:52:52,-20.3297,-40.2925,82.35,82,40,13.8
239,San Nicolas,PH,2022-02-12 15:56:59,18.1725,120.5953,76.91,88,75,4.61
240,Saint-Joseph,RE,2022-02-12 15:57:01,-21.3667,55.6167,79.18,78,29,2.3
241,Katangli,RU,2022-02-12 15:57:02,51.7102,143.2326,14.25,94,100,4.94
242,Kosh-Agach,RU,2022-02-12 15:57:03,50.0,88.6667,-26.27,91,16,3.2
243,Wasilla,US,2022-02-12 15:57:05,61.5814,-149.4394,26.76,88,100,0.0
244,Faya,SA,2022-02-12 15:57:06,18.3851,42.4509,62.71,75,29,5.46
245,Limulunga,ZM,2022-02-12 15:57:07,-15.0969,23.1376,77.31,70,93,4.23
246,Verkhnevilyuysk,RU,2022-02-12 15:57:07,63.4453,120.3167,-20.16,100,99,2.48
247,Laguna,US,2022-02-12 15:57:08,38.421,-121.4238,60.94,93,0,0.0
248,Lodwar,KE,2022-02-12 15:57:09,3.1191,35.5973,93.78,21,45,8.77
249,Darhan,MN,2022-02-12 15:57:10,49.4867,105.9228,-18.11,100,74,0.63
250,Kahului,US,2022-02-12 15:57:12,20.8947,-156.47,70.84,87,4,4.0
251,Shishou,CN,2022-02-12 15:57:12,29.7226,112.419,39.7,91,61,2.66
252,Joacaba,BR,2022-02-12 15:57:13,-27.1781,-51.5047,92.55,27,3,4.12
253,Sao Filipe,CV,2022-02-12 15:57:14,14.8961,-24.4956,80.46,43,89,18.45
254,Bengkulu,ID,2022-02-12 15:53:25,-3.8004,102.2655,77.18,86,100,4.79
255,Tiksi,RU,2022-02-12 15:57:16,71.6872,128.8694,-9.83,92,93,18.05
256,Oktyabrskiy,RU,2022-02-12 15:57:17,54.4815,53.471,24.62,93,100,3.51
257,Saskylakh,RU,2022-02-12 15:55:06,71.9167,114.0833,0.66,77,34,13.49
258,Tecoanapa,MX,2022-02-12 15:57:19,16.5167,-98.75,81.52,45,98,2.53
259,Inhambane,MZ,2022-02-12 15:57:20,-23.865,35.3833,84.18,70,20,6.91
260,Flin Flon,CA,2022-02-12 15:57:21,54.7682,-101.865,-20.36,76,0,4.61
261,Ganderkesee,DE,2022-02-12 15:53:24,53.0333,8.5333,41.63,64,0,11.5
262,Udachnyy,RU,2022-02-12 15:57:23,66.4167,112.4,-11.65,100,93,3.33
263,Zyryanka,RU,2022-02-12 15:57:24,65.75,150.85,-33.29,97,11,7.25
264,Abu Dhabi,AE,2022-02-12 15:53:10,24.4667,54.3667,77.11,51,0,5.75
265,Isangel,VU,2022-02-12 15:57:26,-19.55,169.2667,79.38,89,82,4.34
266,Kisaran,ID,2022-02-12 15:57:27,2.9845,99.6158,74.5,94,100,2.95
267,Nome,US,2022-02-12 15:57:28,64.5011,-165.4064,-15.3,87,97,6.02
268,Kaeo,NZ,2022-02-12 15:56:09,-35.1,173.7833,71.33,86,99,26.33
269,Kendari,ID,2022-02-12 15:57:30,-3.945,122.4989,75.99,94,99,3.89
270,Santiago,CL,2022-02-12 15:55:09,-33.4569,-70.6483,88.29,30,0,4.61
271,Korhogo,CI,2022-02-12 15:57:32,9.45,-5.6333,97.09,6,19,5.35
272,Saint Anthony,US,2022-02-12 15:56:22,45.0205,-93.218,-0.15,70,40,5.75
273,Vao,NC,2022-02-12 15:54:32,-22.6667,167.4833,80.17,82,100,5.75
274,Asau,RO,2022-02-12 15:57:35,46.4333,26.4,36.95,63,100,4.25
275,Iracoubo,GF,2022-02-12 15:55:23,5.4802,-53.2011,79.63,83,75,11.97
276,Mogadishu,SO,2022-02-12 15:57:37,2.0371,45.3438,77.68,77,73,17.54
277,Banda Aceh,ID,2022-02-12 15:55:03,5.5577,95.3222,78.08,86,49,14.0
278,Ilulissat,GL,2022-02-12 15:56:16,69.2167,-51.1,33.8,65,100,22.57
279,Evensk,RU,2022-02-12 15:58:40,61.95,159.2333,-12.42,73,38,7.2
280,Letka,RU,2022-02-12 15:58:42,59.6011,49.4232,18.7,97,99,4.59
281,Cidreira,BR,2022-02-12 15:58:43,-30.1811,-50.2056,79.41,68,1,15.61
282,Ise,JP,2022-02-12 15:58:44,34.4833,136.7,35.62,68,0,6.69
283,Angoche,MZ,2022-02-12 15:58:45,-16.2325,39.9086,79.05,87,75,7.96
284,Mantua,IT,2022-02-12 15:58:46,45.1667,10.7833,54.64,40,0,5.99
285,Cuamba,MZ,2022-02-12 15:58:47,-14.8031,36.5372,70.2,95,100,1.34
286,San Andres,CO,2022-02-12 15:58:48,12.5847,-81.7006,84.22,70,40,13.8
287,Vagur,FO,2022-02-12 15:58:50,61.4732,-6.8119,43.47,88,100,19.66
288,Saint-Pierre,RE,2022-02-12 15:58:50,-21.3393,55.4781,80.28,83,40,5.75
289,Luderitz,NA,2022-02-12 15:58:51,-26.6481,15.1594,74.48,66,40,0.65
290,Sardinia,GR,2022-02-12 15:58:52,38.8833,21.2,56.32,75,100,0.74
291,Kutum,SD,2022-02-12 15:55:08,14.2,24.6667,75.11,8,49,8.88
292,Dudinka,RU,2022-02-12 15:58:54,69.4058,86.1778,-5.64,85,22,15.01
